"Environment Canada"
"Monthly Values for March - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CHEMAINUS","48.935","-123.742","BC","8.7","0",NA,"20.0","0","1.5","0","0.0","0",NA,"271.3","0",NA,"0.0","17","","",NA,"289.1","0.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","7.5","17","1.3","24.0","12","-2.0","12","",,NA,"340.0","16",NA,"","15","","",NA,"147.4","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"14.3","8","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","6.8","12","0.4","13.5","12","-1.0","12","0.0","12",NA,"218.2","12",NA,"","12","","",NA,"213.7","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","8.8","0",NA,"17.2","0","2.4","0","",,NA,"74.2","0",NA,"","14","",,NA,"284.7","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","8.9","2",NA,"19.0","2","2.5","2","0.0","2",NA,"168.4","2",NA,"0.0","19","","",NA,"263.0","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","6.9","0",NA,"20.1","0","1.1","0","",,NA,"184.6","0",NA,"","17","",,NA,"344.3","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0","0.0","111.2","0","125.0","0.0","16","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","9",NA,"178.5","9",NA,"0.0","14","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","7.9","0",NA,"22.1","0","-1.2","0","",,NA,"206.8","0",NA,"","16","",,NA,"313.6","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","9.4","8",NA,"21.5","8","3.0","8","0.0","9",NA,"98.2","8",NA,"0.0","15","","",NA,"198.5","0.0","1015638"
"RACE ROCKS","48.298","-123.531","BC","9.2","0",NA,"17.3","0","4.5","0","",,NA,"",,NA,"","","",,NA,"272.3","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","8.5","0","1.4","18.0","0","2.0","0","0.0","0","0.0","116.7","0","147.0","0.0","16","","",NA,"295.2","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","8.7","6","1.8","20.0","6","2.0","6","0.0","6",NA,"159.8","6",NA,"0.0","14","","",NA,"232.0","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","24",NA,"46.0","24",NA,"","7","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","8.0","0",NA,"19.4","0","2.4","0","",,NA,"91.9","0",NA,"","14","",,NA,"311.2","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","9.4","0",NA,"16.0","0","4.8","0","",,NA,"77.2","0",NA,"","15","",,NA,"267.0","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","7.2","0","1.1","21.5","0","-1.0","0","0.0","0","0.0","222.8","0","187.0","0.0","15","","",NA,"335.2","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","9.1","0",NA,"16.4","0","3.8","0","",,NA,"156.0","0",NA,"","22","",,NA,"277.4","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","8.6","0",NA,"18.9","0","1.5","0","",,NA,"58.2","0",NA,"","8","",,NA,"290.7","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","20",NA,"88.6","20",NA,"","11","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","9.1","0",NA,"18.0","0","3.2","0","",,NA,"34.6","6",NA,"","9","",,NA,"277.0","0.0","1018611"
