"Environment Canada"
"Monthly Values for September - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CHEMAINUS","48.935","-123.742","BC","15.0","0",NA,"22.5","0","7.0","0","0.0","0",NA,"45.6","0",NA,"0.0","11","","",NA,"91.1","0.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","14.4","14","-0.8","28.0","10","3.0","9","0.0","25",NA,"94.4","16",NA,"","8","","",NA,"58.1","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"22.2","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","13.6","0",NA,"21.7","0","6.2","0","",,NA,"37.6","0",NA,"","7","",,NA,"131.9","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","15.4","5",NA,"23.0","5","9.0","5","0.0","5",NA,"39.0","5",NA,"0.0","9","","",NA,"66.2","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","14.4","0",NA,"22.8","0","7.8","0","",,NA,"46.0","0",NA,"","8","",,NA,"108.4","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","20",NA,"35.4","20",NA,"0.0","2","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0","0.0","51.6","0","143.0","0.0","12","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","14.7","5",NA,"24.8","5","2.3","3","",,NA,"34.7","6",NA,"","6","",,NA,"83.2","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","15.7","3",NA,"25.5","3","6.5","3","0.0","3",NA,"27.0","3",NA,"0.0","9","","",NA,"65.9","3.3","1015638"
"RACE ROCKS","48.298","-123.531","BC","13.7","0",NA,"21.9","0","9.2","0","",,NA,"",,NA,"","","",,NA,"128.8","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","14.8","2","0.2","23.5","1","5.0","1","0.0","1",NA,"30.9","1",NA,"0.0","9","","",NA,"91.2","0.3","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","15.3","0","-0.1","22.0","0","8.0","0","0.0","0",NA,"41.1","0","124.0","0.0","11","","",NA,"79.6","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","29",NA,"10.4","29",NA,"","1","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","14.1","1",NA,"21.6","1","6.1","0","",,NA,"44.5","1",NA,"","8","",,NA,"113.4","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","14.8","1",NA,"20.5","1","9.2","0","",,NA,"33.2","1",NA,"","6","",,NA,"92.5","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","14.5","0","-0.4","25.0","0","5.0","0","0.0","0",NA,"44.0","0","132.0","0.0","11","","",NA,"104.7","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","13.0","0",NA,"20.6","0","8.2","0","",,NA,"64.6","0",NA,"","10","",,NA,"149.6","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","14.3","0",NA,"24.5","0","3.6","0","",,NA,"34.0","0",NA,"","7","",,NA,"111.6","0.2","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","28",NA,"13.4","28",NA,"","2","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","14.2","1",NA,"22.9","1","6.6","0","",,NA,"27.6","1",NA,"","8","",,NA,"110.9","0.0","1018611"
"VICTORIA INTL A","48.647","-123.426","BC","14.3","0",NA,"24.0","0","4.5","0","0.0","0",NA,"31.1","0",NA,"","8","",,NA,"110.7","0.0","1018621"
"WILLIAM HEAD","48.340","-123.539","BC","12.8","22","-1.2","21.0","22","6.0","22","0.0","22",NA,"2.0","22",NA,"0.0","1","","",NA,"41.6","0.0","1018935"
"BALLENAS ISLAND","49.350","-124.160","BC","14.6","0",NA,"19.8","0","8.9","0","",,NA,"60.8","0",NA,"","10","",,NA,"101.2","0.0","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","13.0","3","-0.7","24.5","3","0.0","3","0.0","3",NA,"108.0","3",NA,"0.0","13","","",NA,"133.7","0.0","1021261"
"CAPE MUDGE","49.998","-125.195","BC","14.3","0","0.1","25.0","0","6.0","0","0.0","0",NA,"119.4","0","203.0","0.0","12","","",NA,"110.8","0.0","1021330"
"CHROME ISLAND","49.472","-124.683","BC","14.2","0",NA,"23.0","0","4.0","0","0.0","0",NA,"58.8","0",NA,"0.0","12","","",NA,"115.0","0.0","1021500"
"COMOX A","49.717","-124.900","BC","14.1","0","-0.3","22.8","0","4.7","0","0.0","0",NA,"54.6","0","131.0","","10","",,NA,"115.7","0.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","14.2","0",NA,"24.5","0","3.0","0","0.0","0",NA,"100.6","0",NA,"0.0","13","","",NA,"115.2","0.0","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","14.1","12",NA,"21.0","12","5.5","12","0.0","12",NA,"60.6","12",NA,"","11","","",NA,"69.8","0.0","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","13.7","8",NA,"25.0","4","3.0","4","0.0","4",NA,"43.4","4",NA,"0.0","11","","",NA,"95.3","0.0","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","14.8","0",NA,"19.4","0","9.8","0","",,NA,"34.6","0",NA,"","10","",,NA,"97.0","0.0","1022689"
