Geographic name,Population. 2011
Canada,33476688
Division No.  1. Subd. V (N.L.),62
Portugal Cove South (N.L.),160
Trepassey (N.L),570
St. Shott's (N.L.),81
Division (N.L.),1489
Cape Broyle (N.L.),506
Renews Cappahayden (N.L.),310
Fermeuse (N.L.),323
Port Kirwan (N.L.),65
Aquaforte (N.L.),83
Ferryland (N.L.),465
Division No.  1. Subd. V (N.L.),511
St. Vincent's St. Stephen's Peter's River (N.L.),340
Gaskiers-Point LaHaye (N.L.),233
St. Mary's (N.L.),439
Riverhead (N.L.),212
Admiralsc Beach (N.L.),153
St. Joseph's (N.L.),115
Mount Carmel-Mitchells Brook-St. Catherine's (N.L.),358
Division No. 1 Subd. X (N.L.),506
Colinet (N.L.),110
Division No1Subd. C (N.L.),131
Branch (N.L.),247
Point Lance (N.L.),120
St. Bride's (N.L.),308
Division No1Subd. B (N.L.),344
Placentia (N.L.),3643
Fox Harbour (N.L.),270
Division No1Subd. A (N.L.),757
Long Harbour-Mount Arlington Heights (N.L.),298
Southern Harbour (N.L.),534
Arnold's Cove (N.L.),990
Come By Chance (N.L.),247
Sunnyside (N.L.),452
Chance Cove (N.L.),282
Norman's Cove-Long Cove (N.L.),720
Chapel Arm (N.L.),468
Division No.  1. Subd. Y (N.L.),1175
Whitbourne (N.L.),916
Division No.  1. Subd. E (N.L.),2971
Whiteway (N.L.),293
Heart's Delight-Islington (N.L.),704
Heart's Desire (N.L.),223
Division No.  1. Subd. F (N.L.),546
Heart's Content (N.L.),375
New Perlican (N.L.),210
Winterton (N.L.),484
Hant's Harbour (N.L.),346
Division No.  1. Subd. G (N.L.),2017
Old Perlican (N.L.),661
Bay de Verde (N.L.),398
Small Point-Adam's Cove-Blackhead-Broad Cove (N.L.),389
Division No.  1. Subd. H (N.L.),408
Salmon Cove (N.L.),695
Victoria (N.L.),1764
Carbonear (N.L.),4739
Division No.  1. Subd. I (N.L.),271
Bryant's Cove (N.L.),396
Harbour Grace (N.L.),3131
Upper Island Cove (N.L.),1594
Division No.  1.Subd. J (N.L.),0
Bishop's Cove (N.L.),275
Spaniard's Bay (N.L.),2622
Division No.  1. Subd. K (N.L.),46
Bay Roberts (N.L.),5818
Division No.  1. Subd. L (N.L.),956
Division No.  1. Subd. M (N.L.),1087
North River (N.L.),562
Clarke's Beach (N.L.),1396
South River (N.L.),655
Cupids (N.L.),761
Division No.  1. Subd. N (N.L.),317
Brigus (N.L.),750
Division No.  1. Subd. O (N.L.),724
Colliers (N.L.),651
Conception Harbour (N.L.),697
Avondale (N.L.),636
Harbour Main-Chapel's Cove-Lakeview (N.L.),1083
Holyrood (N.L.),1995
Conception Bay South (N.L.),24848
Division No.  1. Subd. R (N.L.),344
Wabana (N.L.),2346
Portugal Cove-St. Philip's (N.L.),7366
Pouch Cove (N.L.),1866
Flatrock (N.L.),1457
Torbay (N.L.),7397
Logy Bay-Middle Cove-Outer Cove (N.L.),2098
Bauline (N.L.),397
Paradise (N.L.),17695
St. John's (N.L.),106172
Mount Pearl (N.L.),24284
Petty Harbour-Maddox Cove (N.L.),924
Bay Bulls (N.L.),1283
Witless Bay (N.L.),1179
Division No.  1. Subd. D (N.L.),115
Division No.  2. Subd. E (N.L.),269
Lewin's Cove (N.L.),555
Burin (N.L.),2424
Division No.  2. Subd. F (N.L.),130
St. Lawrence (N.L.),1244
Division No.  2. Subd. G (N.L.),10
Lawn (N.L.),672
Lamaline (N.L.),286
Lord's Cove (N.L.),175
Point May (N.L.),233
Point au Gaul (N.L.),97
Division No.  2. Subd. H (N.L.),139
Frenchman's Cove (N.L.),172
Fortune (N.L.),1442
Grand Bank (N.L.),2415
Garnish (N.L.),545
Division No.  2. Subd. D (N.L.),260
Winterland (N.L.),363
Marystown (N.L.),5506
Fox Cove-Mortier (N.L.),333
Division No.  2. Subd. I (N.L.),136
Bay L'Argent (N.L.),285
Division No.  2. Subd. J (N.L.),0
Grand le Pierre (N.L.),260
Division No.  2. Subd. C (N.L.),596
Rushoon (N.L.),288
Parkers Cove (N.L.),301
Terrenceville (N.L.),530
Red Harbour (N.L.),191
English Harbour East (N.L.),147
Baine Harbour (N.L.),137
St. Bernard's-Jacques Fontaine (N.L.),470
Division No.  2. Subd. L (N.L.),15
Division No.  2. Subd. K (N.L.),595
Little Bay East (N.L.),130
Division No.  3. Subd. A (N.L.),5
Rencontre East (N.L.),141
St. Jacques-Coomb's Cove (N.L.),618
Belleoram (N.L.),409
Pool's Cove (N.L.),182
Division No.  3. Subd. B (N.L.),5
Harbour Breton (N.L.),1711
Division No.  3. Subd. C (N.L.),0
Seal Cove (Fortune Bay) (N.L.),263
Hermitage-Sandyville (N.L.),450
Gaultois (N.L.),179
Division No.  3 Subd. D (N.L.),265
Milltown-Head of Bay d'Espoir (N.L.),789
St. Alban's (N.L.),1233
Morrisville (N.L.),117
Division No.  3. Subd. E (N.L.),114
Division No.  3. Subd. F (N.L.),385
Ramea (N.L.),280
Burgeo (N.L.),1464
Division No.  3. Subd. H (N.L.),727
Isle aux Morts (N.L.),619
Burnt Islands (N.L.),651
Channel-Port aux Basques (N.L.),4170
Division No.  3. Subd. I (N.L.),103
Division No.  3. Subd. J (N.L.),388
Rose Blanche-Harbour le Cou (N.L.),118
Samiajij Miawpukek (N.L.),920
Division No.  4. Subd. A (N.L.),1810
Division No.  4. Subd. B (N.L.),1298
Division No.  4. Subd. C (N.L.),728
St. George's (N.L.),1207
Division No.  4. Subd. D (N.L.),830
Gallants (N.L.),59
Stephenville Crossing (N.L.),1875
Stephenville (N.L.),6719
Kippens (N.L.),1815
Port au Port East (N.L.),598
Division No.  4. Subd. E (N.L.),1973
Cape St. George (N.L.),949
Lourdes (N.L.),532
Port au Port West-Aguathuna-Felix Cove (N.L.),447
Division No.  5. Subd. A (N.L.),232
Division No.  5. Subd. G (N.L.),470
Deer Lake (N.L.),4995
Jackson's Arm (N.L.),323
Howley (N.L.),221
Division No.  5. Subd. E (N.L.),187
Hampden (N.L.),457
Reidville (N.L.),474
Division No.  5. Subd. F (N.L.),632
Steady Brook (N.L.),408
Pasadena (N.L.),3352
Cormack (N.L.),605
Gillams (N.L.),407
Division No.  5. Subd. C (N.L.),101
Massey Drive (N.L.),1412
Corner Brook (N.L.),19886
Division No.  5. Subd. D (N.L.),5
Humber Arm South (N.L.),1681
McIvers (N.L.),546
Cox's Cove (N.L.),660
Lark Harbour (N.L.),510
Meadows (N.L.),649
Hughes Brook (N.L.),231
Irishtown-Summerside (N.L.),1428
Mount Moriah (N.L.),785
York Harbour (N.L.),347
Division No.  6. Subd. D (N.L.),295
Norris Arm (N.L.),912
Division No.  6. Subd. E (N.L.),216
Gander (N.L.),11054
Appleton (N.L.),622
Glenwood (N.L.),791
Division No.  6. Subd. C (N.L.),452
Northern Arm (N.L.),397
Grand Falls-Windsor (N.L.),13725
Bishop's Falls (N.L.),3341
Peterview (N.L.),809
Botwood (N.L.),3008
Badger (N.L.),793
Millertown (N.L.),99
Division No.  6. Subd. A (N.L.),94
Buchans (N.L.),696
Division No.  7. Subd. M (N.L.),2055
Division No.  7. Subd. L (N.L.),1272
Division No.  7. Subd. K (N.L.),1225
Clarenville (N.L.),6036
Division No.  7. Subd. J (N.L.),498
Trinity (Trinity Bay) (N.L.),137
Port Rexton (N.L.),338
Division No.  7. Subd. I (N.L.),102
Elliston (N.L.),337
Trinity Bay North (N.L.),1827
Bonavista (N.L.),3589
Division No.  7. Subd. G (N.L.),398
Keels (N.L.),61
Duntara (N.L.),46
King's Cove (N.L.),111
Division No.  7. Subd. F (N.L.),971
Division No.  7. Subd. E (N.L.),2714
Musgravetown (N.L.),556
Port Blandford (N.L.),483
Traytown (N.L.),283
Division No.  7. Subd. D (N.L.),232
Savage Cove-Sandy Cove (N.L.),132
Terra Nova (N.L.),83
Happy Adventure (N.L.),219
Eastport (N.L.),482
Sandringham (N.L.),274
Glovertown (N.L.),2122
Division No.  7. Subd. N (N.L.),58
Salvage (N.L.),136
Gambo (N.L.),1984
St. Brendan's (N.L.),147
Hare Bay (N.L.),1031
Centreville-Wareham-Trinity (N.L.),1161
Division No.  7. Subd. B (N.L.),25
Greenspond (N.L.),305
Division No.  7. Subd. A (N.L.),144
Dover (N.L.),673
New-Wes-Valley (N.L.),2265
Indian Bay (N.L.),174
Division No.  8. Subd. M (N.L.),165
Lumsden (N.L.),545
Musgrave Harbour (N.L.),1053
Division No.  8. Subd. L (N.L.),3105
Carmanville (N.L.),737
Fogo Island Region (Part) (N.L.),421
Fogo (N.L.),658
Joe Batt's Arm-Barr'd Islands-Shoal Bay (N.L.),685
Tilting (N.L.),204
Change Islands (N.L.),257
Seldom-Little Seldom (N.L.),427
Division No.  8. Subd. I (N.L.),211
Crow Head (N.L.),203
Division No.  8. Subd. H (N.L.),2043
Cottlesville (N.L.),272
Summerford (N.L.),853
Twillingate (N.L.),2269
Division No.  8. Subd. G (N.L.),452
Campbellton (N.L.),520
Birchy Bay (N.L.),566
Comfort Cove-Newstead (N.L.),451
Baytona (N.L.),264
Division No.  8. Subd. F (N.L.),867
Embree (N.L.),691
Lewisporte (N.L.),3483
Little Burnt Bay (N.L.),294
Division No.  8. Subd. E (N.L.),537
Point of Bay (N.L.),159
Leading Tickles (N.L.),337
Point Leamington (N.L.),619
Division No.  8. Subd. D (N.L.),5
Pilley's Island (N.L.),301
Triton (N.L.),998
Brighton (N.L.),171
Lushes Bight-Beaumont-Beaumont North (N.L.),220
Division No.  8. Subd. C (N.L.),527
South Brook (N.L.),487
Robert's Arm (N.L.),807
Springdale (N.L.),2907
Port Anson (N.L.),165
Little Bay (N.L.),108
Little Bay Islands (N.L.),97
Division No.  8. Subd. P (N.L.),340
Beachside (N.L.),150
Division No.  8. Subd. O (N.L.),330
King's Point (N.L.),675
Nippers Harbour (N.L.),128
Burlington (N.L.),349
Middle Arm (N.L.),476
Tilt Cove (N.L.),5
Division No.  8. Subd. A (N.L.),352
Fleur de Lys (N.L.),265
LaScie (N.L.),899
Brent's Cove (N.L.),181
Pacquet (N.L.),184
Baie Verte (N.L.),1370
Seal Cove (White Bay) (N.L.),304
Coachman's Cove (N.L.),92
Westport (N.L.),220
Ming's Bight (N.L.),333
Woodstock (N.L.),190
Miles Cove (N.L.),137
Division No.  9. Subd. F (N.L.),77
Englee (N.L.),583
Roddickton-Bide Arm (N.L.),1057
Conche (N.L.),181
Division No.  9. Subd. A (N.L.),117
Trout River (N.L.),576
Woody Point Bonne Bay (N.L.),281
Norris Point (N.L.),685
Rocky Harbour (N.L.),979
Daniel's Harbour (N.L.),265
Cow Head (N.L.),475
Parson's Pond (N.L.),478
Hawke's Bay (N.L.),338
Port Saunders (N.L.),697
St. Pauls (N.L.),258
Division No.  9. Subd. C (N.L.),2729
Port au Choix (N.L.),839
Anchor Point (N.L.),326
Flower's Cove (N.L.),308
Bird Cove (N.L.),182
Main Brook (N.L.),265
St. Anthony (N.L.),2418
Glenburnie-Birchy Head-Shoal Brook (N.L.),258
Division No.  9. Subd. D (N.L.),815
St. Lunaire-Griquet (N.L.),661
Cook's Harbour (N.L.),76
Raleigh (N.L.),201
Sally's Cove (N.L.),27
Goose Cove East (N.L.),211
Division No.  9. Subd. H (N.L.),84
Bellburns (N.L.),62
Division No.  9. Subd. G (N.L.),49
River of Ponds (N.L.),228
Division No. 10. Subd. A (N.L.),49
L'Anse au Loup (N.L.),550
Red Bay (N.L.),194
L'Anse-au-Clair (N.L.),192
Forteau (N.L.),429
West St. Modeste (N.L.),120
Pinware (N.L.),107
Division No. 10. Subd. B (N.L.),349
Port Hope Simpson (N.L.),441
St. Lewis (N.L.),207
Mary's Harbour (N.L.),383
Cartwright Labrador (N.L.),516
Charlottetown (Labrador) (N.L.),308
Division No. 10. Subd. C (N.L.),54
North West River (N.L.),553
Happy Valley-Goose Bay (N.L.),7552
Division No. 10. Subd. D (N.L.),634
Labrador City (N.L.),7367
Wabush (N.L.),1861
Division No. 10..Subd. E (N.L.),0
Natuashish  2 (N.L.),931
Sheshatshiu 3 (N.L.),1314
Division No. 11. Subd. C (N.L.),0
Rigolet (N.L.),306
Postville (N.L.),206
Makkovik (N.L.),361
Hopedale (N.L.),556
Nain (N.L.),1188
Division No. 11. Subd. E (N.L.),0
Lot 64 (P.E.I.),905
Murray Harbour (P.E.I.),320
Murray River (P.E.I.),334
Lot 63 (P.E.I.),915
Lot 61 (P.E.I.),795
Lot 59 (P.E.I.),1203
Lot 66 (P.E.I.),191
Lot 51 (P.E.I.),769
Lot 52 (P.E.I.),798
Montague (P.E.I.),1895
Lot 53 (P.E.I.),461
Cardigan (P.E.I.),332
Kings. Royalty (P.E.I.),291
Georgetown (P.E.I.),675
Lot 54 (P.E.I.),415
Lot 55 (P.E.I.),378
Lot 56 (P.E.I.),413
Lot 43 (P.E.I.),746
Lot 44 (P.E.I.),806
Lot 45 (P.E.I.),458
Souris (P.E.I.),1173
Lot 46 (P.E.I.),360
Lot 47 (P.E.I.),496
Lot 42 (P.E.I.),274
Lot 41 (P.E.I.),448
St. Peters Bay (P.E.I.),253
Lot 40 (P.E.I.),435
Morell (P.E.I.),313
Lot 39 (P.E.I.),593
Morell 2 (P.E.I.),24
Lot 38 (P.E.I.),521
Lot 62 (P.E.I.),470
Lot 60 (P.E.I.),307
Lot 58 (P.E.I.),493
Lot 57 (P.E.I.),987
Lot 50 (P.E.I.),850
Lot 49 (P.E.I.),1077
Lot 48 (P.E.I.),1911
Lot 31 (P.E.I.),1634
Lot 65 (P.E.I.),2200
Lot 30 (P.E.I.),832
Rocky Point 3 (P.E.I.),49
Lot 29 (P.E.I.),895
Victoria (P.E.I.),104
Meadowbank (P.E.I.),338
Crapaud (P.E.I.),345
Lot 67 (P.E.I.),825
Clyde River (P.E.I.),576
Lot 20 (P.E.I.),847
Lot 21 (P.E.I.),855
Miltonvale Park (P.E.I.),1153
Lot 22 (P.E.I.),560
Lot 23 (P.E.I.),1001
Hunter River (P.E.I.),294
Lot 24 (P.E.I.),1656
Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust. (P.E.I.),266
North Rustico (P.E.I.),583
Brackley (P.E.I.),340
Lot 33 (P.E.I.),1201
Union Road (P.E.I.),235
Breadalbane (P.E.I.),173
Lot 34 (P.E.I.),2577
Lot 35 (P.E.I.),1643
Lot 36 (P.E.I.),743
Scotchfort 4 (P.E.I.),148
Lot 37 (P.E.I.),587
Mount Stewart (P.E.I.),225
Winsloe South (P.E.I.),221
Warren Grove (P.E.I.),367
Charlottetown (P.E.I.),34562
Stratford (P.E.I.),8574
Cornwall (P.E.I.),5162
Lot 28 (P.E.I.),882
Borden-Carleton (P.E.I.),750
Lot 27 (P.E.I.),806
Kinkora (P.E.I.),339
Lot 26 (P.E.I.),1033
Central Bedeque (P.E.I.),167
Lot 25 (P.E.I.),1177
Lot 19 (P.E.I.),1903
Bedeque (P.E.I.),143
Kensington (P.E.I.),1496
Lot 18 (P.E.I.),1054
Sherbrooke (P.E.I.),172
Lot 17 (P.E.I.),548
Linkletter (P.E.I.),320
Miscouche (P.E.I.),869
Summerside (P.E.I.),14751
Lot 15 (P.E.I.),1122
Abrams Village (P.E.I.),267
Lot 16 (P.E.I.),733
